Title,Type,Theme,Region,Year,Summary
Digital Transformation of Land Records: Lessons from State Rollouts,Policy Paper,Digital Land Records,National,2023,"Reviews how digitization of land records under national modernization programmes has affected record accuracy, title clarity, and citizen access to land information, and identifies common implementation bottlenecks across states."
Climate-Resilient Land Use Planning in Coastal Odisha,Case Study,Climate Resilience,Odisha,2022,"Examines how cyclone and flood exposure has shaped land-use zoning decisions in coastal districts, and evaluates the effectiveness of setback rules and wetland buffers in reducing vulnerability."
Urban Sprawl and Agricultural Land Conversion in the Delhi-NCR Region,Research Paper,Urban Expansion,Delhi,2021,"Analyzes the pace of peri-urban agricultural land conversion around Delhi-NCR over two decades and its implications for food-producing land, using satellite-derived land-cover change data."
Tenure Security and Land Dispute Resolution Mechanisms in Bihar,Policy Paper,Land Disputes,Bihar,2023,"Assesses the effectiveness of revenue courts and alternative dispute resolution forums in reducing pending land dispute caseloads, and proposes a fast-track mediation model."
Remote Sensing for Monitoring Encroachment on Forest and Common Land,Technical Report,Remote Sensing,National,2024,"Presents a methodology using multi-temporal satellite imagery to detect encroachment on forest and community land, supporting enforcement and restoration planning."
Land Acquisition for Infrastructure Corridors: Compensation and Resettlement Outcomes,Research Paper,Infrastructure Pressure,Maharashtra,2022,"Studies compensation adequacy and resettlement outcomes for households displaced by highway and rail corridor projects, highlighting gaps between policy entitlements and delivery."
Gender Gaps in Land Ownership and Inheritance Practices,Research Paper,Governance,National,2021,"Documents persistent gaps in women's recorded land ownership despite legal inheritance rights, and reviews state-level interventions such as joint titling incentives."
Forest Rights Act Implementation and Tribal Land Titling in Central India,Case Study,Governance,Chhattisgarh,2023,"Evaluates the pace and quality of individual and community forest rights titling under the Forest Rights Act in tribal-dominated districts, and the barriers claimants face."
Climate Vulnerability Mapping for Himalayan Land-Use Planning,Technical Report,Climate Resilience,Himachal Pradesh,2024,"Develops a composite climate vulnerability index combining slope instability, glacial lake outburst risk, and rainfall variability to guide land-use restrictions in hill towns."
Digital Cadastral Surveys Using Drone-Based Mapping: A Pilot Assessment,Technical Report,Digital Land Records,Madhya Pradesh,2022,"Assesses accuracy, cost and time savings of drone-based cadastral resurvey pilots compared to traditional chain-and-tape survey methods."
Urban-Rural Land Transition Governance in Peri-Urban Bengaluru,Research Paper,Urban Expansion,Karnataka,2023,"Explores how weak zoning enforcement in peri-urban Bengaluru has led to informal land conversion, and proposes a phased land-use transition framework."
Land Dispute Density and Judicial Backlog: A Cross-State Comparison,Research Paper,Land Disputes,National,2020,"Compares land-related litigation backlog across states relative to population and land parcel counts, identifying states where dispute density correlates with weaker record digitization."
Satellite-Based Crop and Land-Cover Classification for Agricultural Land Monitoring,Technical Report,Remote Sensing,Punjab,2021,Applies multispectral satellite classification to track the extent of irrigated agricultural land and its year-on-year conversion to non-agricultural use.
Infrastructure Corridors and Land Fragmentation in Rural Uttar Pradesh,Case Study,Infrastructure Pressure,Uttar Pradesh,2022,Investigates how linear infrastructure projects have fragmented agricultural holdings and altered land access patterns for smallholder farmers.
Institutional Capacity for Land Governance: A State Readiness Assessment,Policy Paper,Governance,National,2024,"Proposes a readiness framework scoring states on digital record coverage, dispute resolution capacity, and staffing, to prioritize capacity-building support."
Wetland and Water Body Encroachment in Rapidly Urbanizing Districts,Case Study,Urban Expansion,Telangana,2023,Documents the loss of urban wetlands and water bodies to construction over a decade and links the loss to increased urban flooding incidents.
Community Land Rights and Common Property Resource Governance,Research Paper,Governance,Rajasthan,2020,"Reviews the legal status and on-ground management of common property resources such as village grazing land, and the effect of privatization pressure on rural livelihoods."
Climate Migration and Land Pressure in the Sundarbans,Case Study,Climate Resilience,West Bengal,2023,Studies how repeated cyclone and salinity intrusion events are driving internal migration and reshaping land-use and tenure patterns in the Sundarbans delta.
Blockchain-Based Land Record Integrity: A Feasibility Study,Technical Report,Digital Land Records,National,2024,"Evaluates the technical and institutional feasibility of blockchain-anchored land record systems for tamper-evidence, drawing on pilot implementations."
Land Dispute Resolution Through Gram Nyayalayas: An Evaluation,Policy Paper,Land Disputes,Madhya Pradesh,2021,Assesses whether village-level courts have reduced the time and cost of resolving minor land disputes compared to district revenue courts.
Mapping Urban Heat and Land Governance Interlinkages in Metro Cities,Research Paper,Climate Resilience,National,2022,Links urban land-use intensity and green-cover loss to rising urban heat island effects across major metropolitan areas.
Infrastructure-Led Land Value Capture: Financing Urban Development,Policy Paper,Infrastructure Pressure,Gujarat,2023,"Reviews land value capture instruments used to finance metro rail and urban infrastructure, and their fiscal outcomes for state and municipal bodies."
GIS-Based Decision Support for District-Level Land-Use Planning,Technical Report,Remote Sensing,Odisha,2022,"Presents a GIS decision-support prototype that overlays land governance, climate, and infrastructure indicators to prioritize district-level planning interventions."
Land Records Modernization and Agricultural Credit Access,Research Paper,Digital Land Records,Bihar,2021,Finds that clearer digitized land titles are associated with improved access to formal agricultural credit among smallholder farmers.
Coastal Land Use Regulation and Fisher Community Land Access,Case Study,Governance,Kerala,2023,Examines tension between coastal regulation zones intended for ecological protection and the customary land access needs of fishing communities.
Urban Expansion Trends Along National Highway Corridors,Research Paper,Urban Expansion,Haryana,2020,"Tracks ribbon development and land-use change along national highway corridors, finding accelerated non-agricultural conversion within five kilometres of new highways."
Predictive Modelling of Land Dispute Hotspots Using Administrative Data,Technical Report,Land Disputes,National,2024,Builds a predictive model using historical case filings and land-record quality indicators to flag districts at elevated risk of rising land dispute volumes.
Land Governance Reform and Ease of Doing Business Rankings,Policy Paper,Governance,National,2022,Analyzes the relationship between state-level land record digitization reforms and improvements in ease-of-doing-business indicators tied to property registration.
Flood Risk Zoning and Compliance in Riverine Settlements,Case Study,Climate Resilience,Assam,2021,Studies compliance with floodplain zoning regulations in riverine settlements and the socio-economic factors driving continued construction in high-risk zones.
