State,Land_Governance_Index,Urban_Expansion,Agri_Land_Percent,Climate_Vulnerability,Dispute_Density,Infrastructure_Pressure
Andhra Pradesh,68.9,16.9,26.4,36.1,65.2,64.4
Arunachal Pradesh,82.3,21.5,36.3,22.1,26.4,51.9
Assam,36.4,29.9,51.5,59.2,26.5,58.0
Bihar,77.9,15.5,62.0,70.3,35.5,26.4
Chhattisgarh,85.7,40.2,14.2,27.0,73.6,59.1
Goa,77.8,69.7,43.9,90.1,38.4,55.3
Gujarat,79.0,61.4,65.7,61.6,62.8,18.3
Haryana,47.1,36.7,13.3,36.8,17.6,35.3
Himachal Pradesh,68.7,42.4,32.8,35.1,30.0,83.4
Jharkhand,69.3,60.7,19.5,72.5,22.3,42.7
Karnataka,87.4,63.0,45.3,69.3,73.2,71.6
Kerala,47.1,17.4,29.1,39.3,25.8,83.8
Madhya Pradesh,81.4,38.6,51.9,48.5,78.6,48.5
Maharashtra,49.0,33.5,45.6,38.9,53.8,80.5
Manipur,56.2,31.4,74.8,56.7,16.8,18.4
Meghalaya,40.8,62.1,61.1,50.4,14.8,42.9
Mizoram,87.8,54.7,73.1,82.0,10.9,67.6
Nagaland,71.1,55.3,25.9,66.1,18.4,46.7
Odisha,59.0,86.5,66.7,39.0,47.5,28.0
Punjab,83.4,80.3,28.0,66.0,55.7,26.2
Rajasthan,75.4,55.5,60.2,58.2,10.0,38.7
Sikkim,36.0,84.7,66.9,79.9,33.1,19.2
Tamil Nadu,81.5,86.0,13.7,55.0,15.2,70.5
Telangana,75.6,24.6,39.8,59.6,29.9,78.7
Tripura,57.4,30.9,44.1,72.6,25.1,37.8
Uttar Pradesh,87.7,63.7,37.4,57.3,19.1,31.4
Uttarakhand,52.9,59.1,23.4,35.9,15.3,61.1
West Bengal,47.1,82.9,65.6,25.1,27.9,63.8
Andaman and Nicobar Islands,46.4,24.9,70.7,61.1,45.5,72.3
Chandigarh,77.8,29.3,14.5,51.0,41.8,49.1
Dadra and Nagar Haveli and Daman and Diu,73.6,65.5,73.9,27.1,40.2,39.8
Delhi,80.7,33.6,20.7,52.3,41.6,35.3
Jammu and Kashmir,48.2,84.2,37.7,82.0,51.3,18.7
Ladakh,88.0,77.7,72.9,86.7,73.7,27.1
Lakshadweep,60.7,31.0,34.9,24.2,38.4,86.9
Puducherry,49.1,73.8,38.5,50.5,81.8,87.7
